product_id,name,description,price,category,stock,created_at,updated_at,status,rating
"1","Most Blender","High-quality most blender. Perfect for everyday use.","332.21","home_kitchen","451","2025-02-21 16:55:04","2025-02-26 16:59:53","active","0.34"
"2","Ask Snack Bar","High-quality ask snack bar. Perfect for everyday use.","260.59","grocery","177","2025-02-21 16:55:04","2025-02-26 15:50:44","inactive","4.95"
"3","Present Dress","High-quality present dress. Perfect for everyday use.","927.21","clothing","294","2025-02-21 16:55:04","2025-02-21 16:55:04","active","1.78"
"4","Book: Advanced zero tolerance flexibility","High-quality book: advanced zero tolerance flexibility. Perfect for everyday use.","675.91","books","173","2025-02-21 16:55:04","2025-02-21 16:55:04","inactive","3.40"
"5","Probably Cookware Set","High-quality probably cookware set. Perfect for everyday use.","385.59","home_kitchen","346","2025-02-21 16:55:04","2025-02-21 16:55:04","inactive","0.75"
"6","Act Olive Oil","High-quality act olive oil. Perfect for everyday use.","147.81","grocery","43","2025-02-21 16:55:04","2025-02-21 16:55:04","inactive","4.40"
"7","Rule Seat Cover","High-quality rule seat cover. Perfect for everyday use.","647.62","automotive","122","2025-02-21 16:55:04","2025-02-21 16:55:04","inactive","4.55"
"8","Law Jump Starter","High-quality law jump starter. Perfect for everyday use.","610.99","automotive","438","2025-02-21 16:55:04","2025-02-21 16:55:04","active","0.23"
"9","Defense Tent","High-quality defense tent. Perfect for everyday use.","314.69","sports_outdoors","488","2025-02-21 16:55:04","2025-02-21 16:55:04","inactive","1.56"
"10","Best Action Figure","High-quality best action figure. Perfect for everyday use.","815.26","toys_games","103","2025-02-21 16:55:04","2025-02-26 17:03:14","active","0.68"
"11","Difference Snack Bar","High-quality difference snack bar. Perfect for everyday use.","594.59","grocery","144","2025-02-21 16:55:04","2025-02-21 16:55:04","inactive","4.67"
"12","Remain Perfume","High-quality remain perfume. Perfect for everyday use.","775.79","beauty","302","2025-02-21 16:55:04","2025-02-21 16:55:04","inactive","1.58"
"13","Smile Tent","High-quality smile tent. Perfect for everyday use.","977.12","sports_outdoors","275","2025-02-21 16:55:04","2025-02-21 16:55:04","active","3.55"
"14","Against Seat Cover","High-quality against seat cover. Perfect for everyday use.","596.39","automotive","310","2025-02-21 16:55:04","2025-02-21 16:55:04","active","3.16"
"15","Drive First Aid Kit","High-quality drive first aid kit. Perfect for everyday use.","838.19","health","346","2025-02-21 16:55:05","2025-02-21 16:55:05","active","3.86"
"16","Authority Air Fryer","High-quality authority air fryer. Perfect for everyday use.","754.77","home_kitchen","280","2025-02-21 16:55:05","2025-02-21 16:55:05","inactive","2.65"
"17","Which Snack Bar","High-quality which snack bar. Perfect for everyday use.","110.57","grocery","486","2025-02-21 16:55:05","2025-02-21 16:55:05","active","3.22"
"18","President First Aid Kit","High-quality president first aid kit. Perfect for everyday use.","705.82","health","454","2025-02-21 16:55:05","2025-02-21 16:55:05","active","2.62"
"19","North Toaster","High-quality north toaster. Perfect for everyday use.","929.88","home_kitchen","19","2025-02-21 16:55:05","2025-02-21 16:55:05","active","1.10"
"20","Field Running Shoes","High-quality field running shoes. Perfect for everyday use.","218.39","sports_outdoors","431","2025-02-21 16:55:05","2025-02-21 16:55:05","inactive","0.87"
"21","Offer Toaster","High-quality offer toaster. Perfect for everyday use.","351.85","home_kitchen","456","2025-02-21 16:55:05","2025-02-21 16:55:05","inactive","0.94"
"22","Firm Smart Watch","High-quality firm smart watch. Perfect for everyday use.","236.22","electronics","414","2025-02-21 16:55:05","2025-02-21 16:55:05","inactive","4.53"
"23","Magazine LEGO Set","High-quality magazine lego set. Perfect for everyday use.","995.52","toys_games","29","2025-02-21 16:55:05","2025-02-21 16:55:05","active","2.83"
"24","Beat Puzzle","High-quality beat puzzle. Perfect for everyday use.","623.46","toys_games","74","2025-02-21 16:55:05","2025-02-21 16:55:05","inactive","3.89"
"25","In Perfume","High-quality in perfume. Perfect for everyday use.","232.73","beauty","343","2025-02-21 16:55:05","2025-02-21 16:55:05","active","4.89"
"26","Song Perfume","High-quality song perfume. Perfect for everyday use.","813.30","beauty","439","2025-02-21 16:55:05","2025-02-21 16:55:05","inactive","0.73"
"27","Open Vitamin","High-quality open vitamin. Perfect for everyday use.","33.24","health","410","2025-02-21 16:55:05","2025-02-21 16:55:05","active","1.47"
"28","Some Perfume","High-quality some perfume. Perfect for everyday use.","787.58","beauty","280","2025-02-21 16:55:05","2025-02-21 16:55:05","active","2.75"
"29","Leave Face Mask","High-quality leave face mask. Perfect for everyday use.","130.86","beauty","457","2025-02-21 16:55:05","2025-02-21 16:55:05","inactive","4.93"
"30","Not Coffee","High-quality not coffee. Perfect for everyday use.","550.27","grocery","355","2025-02-21 16:55:05","2025-02-21 16:55:05","active","3.38"
"31","Market Dress","High-quality market dress. Perfect for everyday use.","572.51","clothing","132","2025-02-21 16:55:06","2025-02-21 16:55:06","active","4.12"
"32","Success Puzzle","High-quality success puzzle. Perfect for everyday use.","913.30","toys_games","48","2025-02-21 16:55:06","2025-02-21 16:55:06","active","3.67"
"33","Action Face Mask","High-quality action face mask. Perfect for everyday use.","475.17","beauty","5","2025-02-21 16:55:06","2025-02-21 16:55:06","inactive","2.00"
"34","Easy Yoga Mat","High-quality easy yoga mat. Perfect for everyday use.","399.64","sports_outdoors","130","2025-02-21 16:55:06","2025-02-21 16:55:06","inactive","2.47"
"35","Population Jeans","High-quality population jeans. Perfect for everyday use.","696.53","clothing","306","2025-02-21 16:55:06","2025-02-21 16:55:06","active","1.26"
"36","Decision Bicycle","High-quality decision bicycle. Perfect for everyday use.","432.16","sports_outdoors","258","2025-02-21 16:55:06","2025-02-21 16:55:06","inactive","1.95"
"37","Religious First Aid Kit","High-quality religious first aid kit. Perfect for everyday use.","921.22","health","489","2025-02-21 16:55:06","2025-02-21 16:55:06","inactive","1.56"
"38","Institution Protein Powder","High-quality institution protein powder. Perfect for everyday use.","472.49","health","442","2025-02-21 16:55:06","2025-02-21 16:55:06","inactive","1.42"
"39","Design Action Figure","High-quality design action figure. Perfect for everyday use.","351.22","toys_games","408","2025-02-21 16:55:06","2025-02-21 16:55:06","inactive","2.46"
"40","Your Air Fryer","High-quality your air fryer. Perfect for everyday use.","138.78","home_kitchen","104","2025-02-21 16:55:06","2025-02-21 16:55:06","active","1.67"
"41","Toward T-Shirt","High-quality toward t-shirt. Perfect for everyday use.","323.67","clothing","339","2025-02-21 16:55:06","2025-02-21 16:55:06","active","1.14"
"42","Thus Perfume","High-quality thus perfume. Perfect for everyday use.","147.72","beauty","354","2025-02-21 16:55:06","2025-02-21 16:55:06","active","1.49"
"43","Church Action Figure","High-quality church action figure. Perfect for everyday use.","938.76","toys_games","1","2025-02-21 16:55:06","2025-02-21 16:55:06","inactive","1.46"
"44","Book: Future-proofed mission-critical core","High-quality book: future-proofed mission-critical core. Perfect for everyday use.","176.73","books","164","2025-02-21 16:55:06","2025-02-21 16:55:06","active","2.16"
"45","It Perfume","High-quality it perfume. Perfect for everyday use.","268.99","beauty","439","2025-02-21 16:55:06","2025-02-21 16:55:06","active","2.80"
"46","Same Cookware Set","High-quality same cookware set. Perfect for everyday use.","304.71","home_kitchen","110","2025-02-21 16:55:07","2025-02-21 16:55:07","inactive","0.56"
"47","Time Perfume","High-quality time perfume. Perfect for everyday use.","811.57","beauty","96","2025-02-21 16:55:07","2025-02-21 16:55:07","active","2.02"
"48","Throughout Protein Powder","High-quality throughout protein powder. Perfect for everyday use.","548.03","health","109","2025-02-21 16:55:07","2025-02-21 16:55:07","inactive","3.49"
"49","Shake Cookware Set","High-quality shake cookware set. Perfect for everyday use.","177.44","home_kitchen","63","2025-02-21 16:55:07","2025-02-21 16:55:07","inactive","3.66"
"50","Court Jacket","High-quality court jacket. Perfect for everyday use.","470.58","clothing","424","2025-02-21 16:55:07","2025-02-21 16:55:07","inactive","0.92"
"51","Minute Smart Camera","High-quality minute smart camera. Perfect for everyday use.","671.93","electronics","436","2025-02-21 16:55:07","2025-02-21 16:55:07","inactive","4.77"
"52","Nice Jeans","High-quality nice jeans. Perfect for everyday use.","577.02","clothing","49","2025-02-21 16:55:07","2025-02-21 16:55:07","inactive","1.76"
"53","Book: Cross-group solution-oriented encryption","High-quality book: cross-group solution-oriented encryption. Perfect for everyday use.","455.08","books","16","2025-02-21 16:55:07","2025-02-21 16:55:07","inactive","1.78"
"54","Around Board Game","High-quality around board game. Perfect for everyday use.","755.87","toys_games","128","2025-02-21 16:55:07","2025-02-21 16:55:07","inactive","1.01"
"55","Music Bicycle","High-quality music bicycle. Perfect for everyday use.","193.24","sports_outdoors","354","2025-02-21 16:55:07","2025-02-21 16:55:07","active","3.42"
"56","Book: Inverse intermediate product","High-quality book: inverse intermediate product. Perfect for everyday use.","816.13","books","5","2025-02-21 16:55:07","2025-02-21 16:55:07","inactive","0.74"
"57","Toward Vitamin","High-quality toward vitamin. Perfect for everyday use.","810.85","health","157","2025-02-21 16:55:07","2025-02-21 16:55:07","inactive","1.93"
"58","Eat Jump Starter","High-quality eat jump starter. Perfect for everyday use.","93.23","automotive","392","2025-02-21 16:55:07","2025-02-21 16:55:07","active","3.76"
"59","Indeed Blender","High-quality indeed blender. Perfect for everyday use.","976.51","home_kitchen","94","2025-02-21 16:55:07","2025-02-21 16:55:07","inactive","0.18"
"60","Maintain Coffee","High-quality maintain coffee. Perfect for everyday use.","522.53","grocery","166","2025-02-21 16:55:07","2025-02-21 16:55:07","inactive","4.10"
"61","As Cookware Set","High-quality as cookware set. Perfect for everyday use.","944.74","home_kitchen","414","2025-02-21 16:55:08","2025-02-21 16:55:08","active","1.02"
"62","Star Air Fryer","High-quality star air fryer. Perfect for everyday use.","397.83","home_kitchen","434","2025-02-21 16:55:08","2025-02-21 16:55:08","inactive","2.14"
"63","Leave Lipstick","High-quality leave lipstick. Perfect for everyday use.","740.03","beauty","196","2025-02-21 16:55:08","2025-02-21 16:55:08","inactive","3.59"
"64","Create Jump Starter","High-quality create jump starter. Perfect for everyday use.","15.71","automotive","427","2025-02-21 16:55:08","2025-02-21 16:55:08","active","0.87"
"65","Suddenly Face Mask","High-quality suddenly face mask. Perfect for everyday use.","690.89","beauty","286","2025-02-21 16:55:08","2025-02-21 16:55:08","inactive","1.59"
"66","Lead Perfume","High-quality lead perfume. Perfect for everyday use.","858.96","beauty","309","2025-02-21 16:55:08","2025-02-21 16:55:08","active","0.24"
"67","Theory Seat Cover","High-quality theory seat cover. Perfect for everyday use.","382.15","automotive","104","2025-02-21 16:55:08","2025-02-21 16:55:08","active","4.55"
"68","Thousand First Aid Kit","High-quality thousand first aid kit. Perfect for everyday use.","614.12","health","151","2025-02-21 16:55:08","2025-02-21 16:55:08","inactive","0.82"
"69","Decision Action Figure","High-quality decision action figure. Perfect for everyday use.","567.47","toys_games","327","2025-02-21 16:55:08","2025-02-21 16:55:08","active","1.28"
"70","Position Jump Starter","High-quality position jump starter. Perfect for everyday use.","810.54","automotive","150","2025-02-21 16:55:08","2025-02-21 16:55:08","active","0.73"
"71","Second T-Shirt","High-quality second t-shirt. Perfect for everyday use.","940.66","clothing","479","2025-02-21 16:55:08","2025-02-21 16:55:08","active","4.27"
"72","Determine Smart Phone","High-quality determine smart phone. Perfect for everyday use.","350.43","electronics","195","2025-02-21 16:55:08","2025-02-21 16:55:08","inactive","3.83"
"73","Home Olive Oil","High-quality home olive oil. Perfect for everyday use.","919.36","grocery","334","2025-02-21 16:55:08","2025-02-21 16:55:08","inactive","3.90"
"74","Lay Seat Cover","High-quality lay seat cover. Perfect for everyday use.","554.17","automotive","99","2025-02-21 16:55:08","2025-02-21 16:55:08","active","0.43"
"75","People Massager","High-quality people massager. Perfect for everyday use.","831.83","health","190","2025-02-21 16:55:08","2025-02-21 16:55:08","inactive","2.44"
"76","But Jump Starter","High-quality but jump starter. Perfect for everyday use.","723.60","automotive","73","2025-02-21 16:55:09","2025-02-21 16:55:09","active","1.23"
"77","Else Dress","High-quality else dress. Perfect for everyday use.","815.75","clothing","97","2025-02-21 16:55:09","2025-02-21 16:55:09","inactive","2.86"
"78","Left Coffee","High-quality left coffee. Perfect for everyday use.","677.55","grocery","96","2025-02-21 16:55:09","2025-02-21 16:55:09","active","1.46"
"79","Shake Running Shoes","High-quality shake running shoes. Perfect for everyday use.","334.84","sports_outdoors","179","2025-02-21 16:55:09","2025-02-21 16:55:09","inactive","4.12"
"80","Total Smart Watch","High-quality total smart watch. Perfect for everyday use.","115.94","electronics","106","2025-02-21 16:55:09","2025-02-21 16:55:09","inactive","2.60"
"81","Fight Perfume","High-quality fight perfume. Perfect for everyday use.","499.99","beauty","78","2025-02-21 16:55:09","2025-02-21 16:55:09","inactive","4.12"
"82","Certain Protein Powder","High-quality certain protein powder. Perfect for everyday use.","258.61","health","187","2025-02-21 16:55:09","2025-02-21 16:55:09","inactive","0.28"
"83","Man Perfume","High-quality man perfume. Perfect for everyday use.","980.65","beauty","273","2025-02-21 16:55:09","2025-02-21 16:55:09","inactive","2.73"
"84","Agree Board Game","High-quality agree board game. Perfect for everyday use.","316.55","toys_games","242","2025-02-21 16:55:09","2025-02-21 16:55:09","inactive","4.26"
"85","Point LEGO Set","High-quality point lego set. Perfect for everyday use.","815.85","toys_games","133","2025-02-21 16:55:09","2025-02-21 16:55:09","inactive","4.20"
"86","Close Seat Cover","High-quality close seat cover. Perfect for everyday use.","872.30","automotive","186","2025-02-21 16:55:09","2025-02-21 16:55:09","inactive","0.58"
"87","She Lipstick","High-quality she lipstick. Perfect for everyday use.","570.50","beauty","66","2025-02-21 16:55:09","2025-02-21 16:55:09","inactive","4.70"
"88","Only T-Shirt","High-quality only t-shirt. Perfect for everyday use.","905.37","clothing","122","2025-02-21 16:55:09","2025-02-21 16:55:09","inactive","2.22"
"89","Take Board Game","High-quality take board game. Perfect for everyday use.","32.26","toys_games","443","2025-02-21 16:55:09","2025-02-21 16:55:09","active","0.04"
"90","Book: Front-line multi-state success","High-quality book: front-line multi-state success. Perfect for everyday use.","389.59","books","329","2025-02-21 16:55:09","2025-02-21 16:55:09","inactive","4.87"
"91","Child Toaster","High-quality child toaster. Perfect for everyday use.","150.10","home_kitchen","426","2025-02-21 16:55:10","2025-02-21 18:46:14","active","0.66"
